,Unnamed: 0,userId,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,IMAX,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western
0,0,1,True,True,True,True,True,True,False,True,True,False,False,False,False,False,False,True,True,False,False
1,1,5,False,False,False,True,True,True,False,True,False,False,False,False,False,False,True,False,True,False,False
2,2,7,True,True,False,False,True,True,False,True,True,False,False,False,False,False,True,True,True,False,False
3,3,17,True,True,False,False,True,True,False,True,True,False,False,False,False,False,False,True,True,False,False
4,4,18,True,True,False,False,True,True,False,True,False,False,False,False,False,False,False,True,True,False,False
5,5,19,True,True,False,False,True,False,False,True,False,False,False,False,False,False,True,True,True,False,False
6,6,21,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False
7,7,27,True,True,True,True,True,False,False,True,True,False,False,False,False,False,True,True,False,False,False
8,8,31,True,True,False,True,True,False,False,True,True,False,False,False,False,False,True,True,True,False,False
9,9,32,True,True,False,False,True,True,False,True,False,False,False,False,False,False,True,False,True,False,False
10,10,33,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False
11,11,40,True,True,False,True,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False
12,12,43,True,True,False,True,True,True,False,True,True,False,False,False,False,False,True,True,True,False,False
13,13,44,True,True,False,False,True,False,False,True,False,False,False,False,False,False,True,True,True,False,False
14,14,45,True,True,False,False,True,False,False,True,False,False,False,False,False,False,True,True,True,False,False
15,15,46,True,True,False,False,True,True,False,True,False,False,False,False,False,False,True,True,True,False,False
16,16,50,True,True,True,False,True,True,False,True,True,False,False,False,False,False,False,False,True,False,False
17,17,54,True,True,False,False,True,True,False,True,False,False,False,False,False,False,True,False,True,False,False
18,18,57,True,True,False,False,True,True,False,True,False,False,False,False,False,False,True,True,True,False,False
19,19,63,True,True,True,False,True,True,False,True,True,False,False,False,False,False,False,True,True,False,False
20,20,64,True,True,False,False,True,True,False,True,False,False,False,False,False,False,True,False,True,False,False
21,21,66,True,True,False,False,True,True,False,True,False,False,False,False,False,False,True,False,True,False,False
22,22,71,True,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False
23,23,73,True,True,False,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False,False
24,24,78,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False
25,25,86,True,True,True,True,True,True,False,True,True,False,False,False,False,False,True,True,True,False,False
26,26,89,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
27,27,90,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False
28,28,91,True,True,False,False,True,True,False,True,True,False,True,False,False,False,False,True,True,False,False
29,29,93,True,True,False,True,True,False,False,True,True,False,False,False,False,False,True,True,True,False,False
30,30,96,True,True,False,False,True,True,False,True,False,False,False,False,False,False,False,True,True,False,False
31,31,98,True,True,True,True,True,False,False,True,True,False,True,False,False,False,True,True,True,False,False
32,32,103,True,True,True,True,True,True,False,True,True,False,False,False,False,False,True,False,True,False,False
33,33,107,True,True,False,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False
34,34,112,True,True,False,False,True,True,False,True,False,False,False,False,False,False,False,True,True,False,False
35,35,119,True,True,True,False,True,True,False,True,False,False,False,False,False,False,False,True,True,False,False
36,36,121,True,True,False,False,True,True,False,True,False,False,False,False,False,False,True,False,True,False,False
37,37,124,True,True,False,False,True,True,False,True,False,False,False,False,False,False,True,True,True,False,False
38,38,130,True,True,False,False,True,True,False,True,False,False,False,False,False,False,False,True,True,False,False
39,39,134,True,True,True,True,True,True,False,True,False,False,False,False,False,False,True,True,True,False,False
40,40,135,True,True,False,False,True,True,False,True,True,False,False,False,False,False,False,True,True,False,False
41,41,137,True,True,False,False,True,False,False,True,False,False,False,False,False,False,True,True,True,False,False
42,42,140,True,True,False,False,True,True,False,True,False,False,False,False,False,False,True,False,True,False,False
43,43,141,True,True,False,False,True,False,False,True,True,False,False,False,False,False,False,True,True,False,False
44,44,144,True,True,False,True,True,True,False,True,True,False,False,False,False,False,True,False,True,False,False
45,45,145,True,True,True,True,True,True,False,True,False,False,False,False,False,False,True,True,True,False,False
46,46,151,False,True,False,True,True,False,False,True,True,False,False,False,False,False,False,False,True,False,False
47,47,155,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
48,48,156,False,False,False,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False
49,49,159,False,True,True,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False
50,50,160,True,True,False,False,True,True,False,True,True,False,False,False,False,False,False,True,True,False,False
51,51,161,False,True,True,True,True,False,False,True,True,False,False,False,True,False,True,False,False,False,False
52,52,166,True,True,False,False,True,True,False,True,True,False,False,False,False,False,True,True,True,False,False
53,53,167,True,True,True,True,True,False,False,True,True,False,False,False,False,False,False,True,False,False,False
54,54,169,False,True,False,True,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False
55,55,171,True,True,False,True,True,True,False,True,True,False,False,False,False,False,False,False,True,False,False
56,56,177,True,True,False,True,True,True,False,True,True,False,False,False,False,False,True,False,True,False,False
57,57,178,True,True,False,False,True,True,False,True,False,False,False,False,False,False,True,False,True,False,False
58,58,179,True,True,False,False,True,True,False,True,False,False,False,False,False,False,True,True,True,False,False
59,59,182,True,False,False,False,True,True,False,True,False,False,False,False,False,False,True,False,True,False,False
60,60,185,False,True,True,True,True,False,False,True,True,False,False,False,True,False,True,False,True,False,False
61,61,186,True,True,False,True,True,False,False,True,True,False,False,False,False,False,True,True,True,False,False
62,62,191,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False
63,63,200,True,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False
64,64,201,True,True,False,False,True,False,False,True,False,False,False,False,False,False,True,True,True,False,False
65,65,202,True,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False
66,66,206,True,True,False,True,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False
67,67,213,True,True,False,False,True,False,False,True,True,False,True,False,False,False,False,True,True,False,False
68,68,214,True,True,False,True,True,False,False,True,True,False,False,False,False,False,True,True,True,False,False
69,69,216,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False
70,70,217,True,True,False,True,True,True,False,True,False,False,False,False,False,False,False,True,True,False,False
71,71,219,True,True,False,False,True,True,False,True,False,False,False,False,False,False,False,True,True,False,False
